GameDate,start_date,end_date
3/27/2018,3/27/2018,3/27/2018
3/28/2018,3/28/2018,3/28/2018
3/29/2018,3/29/2018,3/29/2018
3/30/2018,3/30/2018,3/30/2018
3/31/2018,3/31/2018,3/31/2018
4/1/2018,4/1/2018,4/1/2018
4/2/2018,4/2/2018,4/2/2018
4/3/2018,4/3/2018,4/3/2018
4/4/2018,4/4/2018,4/4/2018
4/5/2018,4/5/2018,4/5/2018
4/6/2018,4/6/2018,4/6/2018
4/7/2018,4/7/2018,4/7/2018
4/8/2018,4/8/2018,4/8/2018
4/9/2018,4/9/2018,4/9/2018
4/10/2018,4/10/2018,4/10/2018
4/11/2018,4/11/2018,4/11/2018
4/12/2018,4/12/2018,4/12/2018
4/13/2018,4/13/2018,4/13/2018
4/14/2018,4/14/2018,4/14/2018
4/15/2018,4/15/2018,4/15/2018
4/16/2018,4/16/2018,4/16/2018
4/17/2018,4/17/2018,4/17/2018
4/18/2018,4/18/2018,4/18/2018
4/19/2018,4/19/2018,4/19/2018
4/20/2018,4/20/2018,4/20/2018
